MimeType;Extension;TypeGroup;Allowed
image/gif;gif;image;true
image/jpeg;jpg;image;true
image/png;png;image;true
image/svg+xml;svg;image;true
image/webp;webp;image;true
text/calendar;ics;file;true
text/csv;csv;file;true
text/plain;txt;file;true
text/xml;xml;file;true
application/xml;xml;file;true
application/json;json;file;true
application/javascript;js;file;true
application/zip;zip;file;true
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;xslx;file;true
application/vnd.openxmlformats-officedocument.wordprocessingml.document;docx;file;true
application/pdf;pdf;file;true
video/mp4;mp4;video;true
video/ogg;ogg;video;true
audio/mp4;mp4;audio;true
audio/ogg;ogg;audio;true
audio/mpeg;mp3;audio;true
video/webm;webm;video;true
video/x-msvideo;avi;video;false
